11,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,5,0,,,,,,,,,,,,,
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.1,0,,,,,,,,,,,,,
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0.1,0,,,,,,,,,,,,,
11,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,3,0,,,,,,,,,,,,,
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.1,0,,,,,,,,,,,,,
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0.1,0,,,,,,,,,,,,,
11,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,1123,64,,,,,,,,,,,,,
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,28.1,1.6,,,,,,,,,,,,,
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,28.1,1.596,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,1,21.7,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0,0.543,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,0,0.5434,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,2,31.1,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.1,0.778,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,0.1,0.7783,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,0,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0,0,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,0,0,,,,,,,,,,,,,
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,0,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,16,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.4,0,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,0.4,0,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,0,8.68,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0,0.217,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,22,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.6,0,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,0.6,0,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,259,177,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,6.5,4.42,,,,,,,,,,,,,
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,0,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,6.5,4.421,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,20,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.5,0,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,0.5,0,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,110,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,2.7,0,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,2.7,0,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,21,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.5,0,,,,,,,,,,,,,
16,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,49,27.2,,,,,,,,,,,,,
16,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1.2,0.681,,,,,,,,,,,,,
16,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,1.2,0.6814,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,0.47,0.61,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.037,0.06,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,0.5,0.58,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.037,0.058,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.038,0.061,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,0.53,0.55,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,1.5,1.45,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.054,0.056,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,0.47,0.61,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.037,0.06,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,0.5,0.58,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.037,0.058,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.038,0.061,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,0.53,0.55,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,0.45,0.54,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.036,0.061,,,,,,,,,,,,,
16,Vitamin B-6,Vitamin B-6,MG,0.2,0.143,,,,,,,,,,,,,
12,Vitamin B-6,Vitamin B-6,MG,0.136,0.075,,,,,,,,,,,,,
11,Vitamin B-6,Vitamin B-6,MG,0.271,0.147,,,,,,,,,,,,,
11,Vitamin B-6,Vitamin B-6,MG,0.117,0.127,,,,,,,,,,,,,
11,Vitamin B-6,Vitamin B-6,MG,0.035,0.034,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,1.4,1.35,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.081,0.081,,,,,,,,,,,,,
1,Vitamin B-12,Vitamin B-12,UG,1.5,1.45,,,,,,,,,,,,,
1,Vitamin B-6,Vitamin B-6,MG,0.054,0.056,,,,,,,,,,,,,
9,Vitamin B-6,Vitamin B-6,MG,0.02,0,,,,,,,,,,,,,
12,Vitamin B-6,Vitamin B-6,MG,0.804,0.76,,,,,,,,,,,,,
18,Vitamin B-6,Vitamin B-6,MG,0.087,0.092,,,,,,,,,,,,,
2,Vitamin B-6,Vitamin B-6,MG,0.07,0.069,,,,,,,,,,,,,
9,Vitamin B-6,Vitamin B-6,MG,0.063,0.061,,,,,,,,,,,,,
9,Vitamin B-6,Vitamin B-6,MG,0.025,0.025,,,,,,,,,,,,,
