food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g,SReachcat_x,SReachcat_y
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1e-07,7.78e-07,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,1e-07,7.783e-07,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0,0.0,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0,0.0,5.71e-05,5.8142699999999995e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,4e-07,0.0,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,4e-07,0.0,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0,2.17e-07,5.76e-05,5.8358e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,6e-07,0.0,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,6e-07,0.0,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,6.5e-06,4.42e-06,5.76e-05,5.8358e-05
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0,0.0,0.0,0.0
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,6.5e-06,4.421e-06,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,5e-07,0.0,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,5e-07,0.0,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,2.7e-06,0.0,5.76e-05,5.8358e-05
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,2.7e-06,0.0,5.71e-05,5.8142699999999995e-05
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,5e-07,0.0,5.76e-05,5.8358e-05
16,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,1.2e-06,6.81e-07,2.4e-06,1.362e-06
16,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,1.2e-06,6.814e-07,2.4e-06,1.3628e-06
1,Vitamin B-12,Vitamin B-12,G,4.7e-07,6.1e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,5e-07,5.8e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,5.3e-07,5.5e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,1.5e-06,1.45e-06,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,4.7e-07,6.1e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,5e-07,5.8e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,5.3e-07,5.5e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,4.5e-07,5.4e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,1.4e-06,1.35e-06,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,1.5e-06,1.45e-06,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,1.1e-06,1.06e-06,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,4.7e-07,4.2e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,1.68e-06,1.65e-06,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,7.5e-07,7e-07,1.671e-05,1.735345e-05
