food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0000004,0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0,0.000000217
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000006,0
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0000006,0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000065,0.00000442
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0,0
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0000065,0.000004421
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000005,0
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0000005,0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000027,0
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0000027,0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000005,0
16,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000012,0.000000681
16,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000012,0.0000006814
1,Vitamin B-12,Vitamin B-12,G,0.00000047,0.00000061
1,Vitamin B-12,Vitamin B-12,G,0.0000005,0.00000058
1,Vitamin B-12,Vitamin B-12,G,0.00000053,0.00000055
1,Vitamin B-12,Vitamin B-12,G,0.0000015,0.00000145
1,Vitamin B-12,Vitamin B-12,G,0.00000047,0.00000061
1,Vitamin B-12,Vitamin B-12,G,0.0000005,0.00000058
1,Vitamin B-12,Vitamin B-12,G,0.00000053,0.00000055
1,Vitamin B-12,Vitamin B-12,G,0.00000045,0.00000054
1,Vitamin B-12,Vitamin B-12,G,0.0000014,0.00000135
1,Vitamin B-12,Vitamin B-12,G,0.0000015,0.00000145
1,Vitamin B-12,Vitamin B-12,G,0.0000011,0.00000106
1,Vitamin B-12,Vitamin B-12,G,0.00000047,0.00000042
1,Vitamin B-12,Vitamin B-12,G,0.00000168,0.00000165
1,Vitamin B-12,Vitamin B-12,G,0.00000075,0.0000007
1,Vitamin B-12,Vitamin B-12,G,0.00000049,0.00000045
1,Vitamin B-12,Vitamin B-12,G,0.00000034,0.00000078
1,Vitamin B-12,Vitamin B-12,G,0.00000047,0.00000061
1,Vitamin B-12,Vitamin B-12,G,0.0000005,0.00000058
1,Vitamin B-12,Vitamin B-12,G,0.00000053,0.00000055
7,Vitamin B-12,Vitamin B-12,G,0.00000203,0.00000113
7,Vitamin B-12,Vitamin B-12,G,0.0000013,0.00000106
1,Vitamin B-12,Vitamin B-12,G,0.00000045,0.00000054
7,Vitamin B-12,Vitamin B-12,G,0.00000079,0.0000012
1,Vitamin B-12,Vitamin B-12,G,0.00000089,0.00000102
1,Vitamin B-12,Vitamin B-12,G,0.00000017,0
16,Vitamin B-12,Vitamin B-12,G,0.00000111,0.0000003931
14,Vitamin B-12,Vitamin B-12,G,0,0.0000003375
1,Vitamin B-12,Vitamin B-12,G,0.00000043,0.0000006617
1,Vitamin B-12,Vitamin B-12,G,0.00000022,0
1,Vitamin B-12,Vitamin B-12,G,0.00000016,0
1,Vitamin B-12,Vitamin B-12,G,0.00000021,0.00000006175
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000031,0.000008
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018
16,Vitamin B-12,Vitamin B-12,G,0.00000111,0.0000003931
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000031,0.000008
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000031,0.000008
